Tree,N,Mediana tempo (s)
AVL,19630,6.896007107570767e-06
AVL,21544,6.999995093792677e-06
AVL,23644,8.062503184191883e-06
AVL,25950,7.708003977313638e-06
AVL,28480,8.083501597866416e-06
AVL,31257,8.271003025583923e-06
AVL,34304,8.37500556372106e-06
AVL,37649,8.145492756739259e-06
AVL,41320,8.125003660097718e-06
AVL,45348,8.396003977395594e-06
AVL,49770,8.500501280650496e-06
AVL,54622,9.854004019871354e-06
AVL,59948,9.124501957558095e-06
AVL,65793,8.68749339133501e-06
AVL,72208,8.66700429469347e-06
AVL,79248,8.646005881018937e-06
AVL,86974,9.22950857784599e-06
AVL,95454,8.833492756821215e-06
AVL,104761,9.146009688265622e-06
AVL,114975,8.583505405113101e-06
AVL,126185,8.687507943250239e-06
AVL,138488,8.56249243952334e-06
AVL,151991,9.333001798950136e-06
AVL,166810,8.937509846873581e-06
AVL,183073,9.250506991520524e-06
AVL,200923,9.479510481469333e-06
AVL,220513,9.479495929554105e-06
AVL,242012,9.395487722940743e-06
AVL,265608,9.91650449577719e-06
AVL,291505,9.249983122572303e-06
AVL,319926,9.291485184803605e-06
AVL,351119,1.0271003702655435e-05
AVL,385352,9.646508260630071e-06
AVL,422924,1.0395495337434113e-05
AVL,464158,1.0416493751108646e-05
AVL,509413,1.0083502274937928e-05
AVL,559081,1.0229487088508904e-05
AVL,613590,1.058299676515162e-05
AVL,673415,1.0604519047774374e-05
AVL,739072,1.1333482689224184e-05
AVL,811130,1.0478994227014482e-05
AVL,890215,1.0312491212971509e-05
AVL,977009,9.4585120677948e-06
AVL,1072267,1.0124989785254002e-05
AVL,1176811,1.1166499461978674e-05
AVL,1291549,1.1124997399747372e-05
AVL,1417474,1.1021489626727998e-05
AVL,1555676,1.0937495972029865e-05
AVL,1707352,1.108349533751607e-05
AVL,1873817,1.1062002158723772e-05
AVL,2056512,1.120849628932774e-05
AVL,2257019,1.135400088969618e-05
AVL,2477076,1.1458498192951083e-05
AVL,2718588,1.0895499144680798e-05
AVL,2983647,1.1167008779011667e-05
AVL,3274549,1.0833522537723184e-05
AVL,3593813,1.1979005648754537e-05
AVL,3944206,1.0603995178826153e-05
AVL,4328761,1.2062504538334906e-05
AVL,4750810,1.245799649041146e-05
AVL,5214008,1.143749977927655e-05
AVL,5722367,1.1479496606625617e-05
AVL,6280291,1.0729490895755589e-05
AVL,6892612,1.1395502951927483e-05
AVL,7564633,1.1041993275284767e-05
AVL,8302175,1.1209005606360734e-05
AVL,9111627,1.0415998985990882e-05
AVL,10000000,1.1728989193215966e-05
RBT,1000,8.750066626816988e-07
RBT,1097,9.57996235229075e-07
RBT,1204,8.545030141249299e-07
RBT,1321,9.374925866723061e-07
RBT,1450,9.789946489036083e-07
RBT,1592,9.374925866723061e-07
RBT,1747,9.590003173798323e-07
RBT,1917,9.57996235229075e-07
RBT,2104,9.794894140213728e-07
RBT,2310,1.020511263050139e-06
RBT,2535,9.999930625781417e-07
RBT,2782,9.380019037052989e-07
RBT,3053,9.380019037052989e-07
RBT,3351,1.00000761449337e-06
RBT,3678,9.795039659366012e-07
RBT,4037,1.020511263050139e-06
RBT,4430,1.00000761449337e-06
RBT,4862,1.0619987733662128e-06
RBT,5336,1.0829971870407462e-06
RBT,5857,8.954957593232393e-07
RBT,6428,1.0834919521585107e-06
RBT,7054,1.104010152630508e-06
RBT,7742,1.0624935384839773e-06
RBT,8497,1.062478986568749e-06
RBT,9326,1.1454831110313535e-06
RBT,10235,1.104010152630508e-06
RBT,11233,1.4999823179095984e-06
RBT,12328,1.270498614758253e-06
RBT,13530,1.062478986568749e-06
RBT,14849,1.208492903970182e-06
RBT,16297,1.0840012691915035e-06
RBT,17886,1.124994014389813e-06
RBT,19630,1.00000761449337e-06
RBT,21544,1.271007931791246e-06
RBT,23644,1.1659867595881224e-06
RBT,25950,1.207983586937189e-06
RBT,28480,1.6459962353110313e-06
RBT,31257,1.541498932056129e-06
RBT,34304,1.1665106285363436e-06
RBT,37649,1.2289965525269508e-06
RBT,41320,1.167005393654108e-06
RBT,45348,1.1874799383804202e-06
RBT,49770,1.167005393654108e-06
RBT,54622,1.624997821636498e-06
RBT,59948,1.124994014389813e-06
RBT,65793,1.2500095181167126e-06
RBT,72208,1.271007931791246e-06
RBT,79248,1.2914970284327865e-06
RBT,86974,1.2079981388524175e-06
RBT,95454,1.7500133253633976e-06
RBT,104761,1.271007931791246e-06
RBT,114975,1.250504283234477e-06
RBT,126185,1.2499949662014842e-06
RBT,138488,1.2500095181167126e-06
RBT,151991,1.271007931791246e-06
RBT,166810,1.2294913176447153e-06
RBT,183073,1.333013642579317e-06
RBT,200923,1.2090022210031748e-06
RBT,220513,1.5624973457306623e-06
RBT,242012,1.353997504338622e-06
RBT,265608,1.2709933798760176e-06
RBT,291505,1.8540013115853071e-06
RBT,319926,1.958003849722445e-06
RBT,351119,1.2499949662014842e-06
RBT,385352,1.4999968698248267e-06
RBT,422924,1.2500095181167126e-06
RBT,464158,1.2080126907676458e-06
RBT,509413,1.8334976630285382e-06
RBT,559081,1.500011421740055e-06
RBT,613590,1.3954995665699244e-06
RBT,673415,1.353997504338622e-06
RBT,739072,1.353517291136086e-06
RBT,811130,2.0834850147366524e-06
RBT,890215,1.2709933798760176e-06
RBT,977009,1.541498932056129e-06
RBT,1072267,2.749991836026311e-06
RBT,1176811,1.6039994079619646e-06
RBT,1291549,3.979497705586255e-06
RBT,1417474,1.3750104699283838e-06
RBT,1555676,1.5619880286976695e-06
RBT,1707352,1.4789984561502934e-06
RBT,1873817,1.9165017874911427e-06
RBT,2056512,1.8124992493540049e-06
RBT,2257019,2.3124885046854615e-06
RBT,2477076,1.3960088836029172e-06
RBT,2718588,2.542015863582492e-06
RBT,2983647,1.6874982975423336e-06
RBT,3274549,2.1249870769679546e-06
RBT,3593813,1.4375109458342195e-06
RBT,3944206,1.9584986148402095e-06
RBT,4328761,1.5204859664663672e-06
RBT,4750810,2.2915046429261565e-06
RBT,5214008,1.458480255678296e-06
RBT,5722367,1.9374856492504478e-06
RBT,6280291,1.604013959877193e-06
RBT,6892612,1.541498932056129e-06
RBT,7564633,1.2914970284327865e-06
RBT,8302175,1.6664998838678002e-06
RBT,9111627,1.6464910004287958e-06
RBT,10000000,1.6459962353110313e-06
