Tree,N,Mediana tempo (s)
RBT,1097,3.0730000162293436e-06
RBT,1204,1.6540000160603086e-06
RBT,1321,1.692500006811315e-06
RBT,1450,2.366499984418624e-06
RBT,1592,1.8609999870022875e-06
RBT,1747,2.2965000425756443e-06
RBT,1917,2.762500059816375e-06
RBT,2104,1.825500021368498e-06
RBT,2310,2.2314999910122424e-06
RBT,2535,1.8475000160833588e-06
RBT,2782,2.2600000306738366e-06
RBT,3053,1.7455000147492683e-06
RBT,3351,1.7264999883082055e-06
RBT,3678,2.3929999883876008e-06
RBT,4037,2.295999991019926e-06
RBT,4430,1.6875000028448994e-06
RBT,4862,1.899499977753294e-06
RBT,5336,2.4789999883978453e-06
RBT,5857,1.6865000134203e-06
RBT,6428,1.7669999579084106e-06
RBT,7054,1.7639999896346126e-06
RBT,7742,2.2040000544620852e-06
RBT,8497,2.5740000637597404e-06
RBT,9326,1.8349999777456105e-06
RBT,10235,1.7405000107828528e-06
RBT,11233,1.8684999645302014e-06
RBT,12328,2.3430000055668643e-06
RBT,13530,2.272500012168166e-06
RBT,14849,2.026499998919462e-06
RBT,16297,1.7405000107828528e-06
RBT,17886,1.6015000596780737e-06
RBT,19630,1.6139999843289843e-06
RBT,21544,2.606500004276313e-06
RBT,23644,1.8974999420606764e-06
RBT,25950,1.586999985647708e-06
RBT,28480,2.570499987086805e-06
RBT,31257,2.099000028010778e-06
RBT,34304,1.997999959257868e-06
RBT,37649,2.2400000148081745e-06
RBT,41320,2.3670000359743426e-06
RBT,45348,2.352499961943977e-06
RBT,49770,2.030999951330159e-06
RBT,54622,1.9940000015594705e-06
RBT,59948,2.1514999843930127e-06
RBT,65793,2.0810000478377333e-06
RBT,72208,2.536000010877615e-06
RBT,79248,2.9259999791975133e-06
RBT,86974,2.13050003594617e-06
RBT,95454,2.2214999830794113e-06
RBT,104761,2.163999965887342e-06
RBT,114975,2.1949999791104347e-06
RBT,126185,2.502500024093024e-06
RBT,138488,3.3814999937931134e-06
RBT,151991,3.920499977994041e-06
RBT,166810,2.618499934214924e-06
RBT,183073,4.645999979402404e-06
RBT,200923,4.488499996568862e-06
RBT,220513,2.7055000373366056e-06
RBT,242012,2.5319999963357986e-06
RBT,265608,2.806499935559259e-06
RBT,291505,4.516999922543619e-06
RBT,319926,2.8314999553913367e-06
RBT,351119,5.552000004627189e-06
RBT,385352,3.0905000016900885e-06
RBT,422924,3.1790000321052503e-06
RBT,464158,5.781999959708628e-06
RBT,509413,3.432499966038449e-06
RBT,559081,2.904999973907252e-06
RBT,613590,4.644499995265505e-06
RBT,673415,3.069499939556408e-06
RBT,739072,3.6750000163010554e-06
RBT,811130,5.437500021798769e-06
RBT,890215,4.031000003124063e-06
RBT,977009,4.1034999185285415e-06
RBT,1072267,3.612000000430271e-06
RBT,1176811,4.0644998762218165e-06
RBT,1291549,5.193499987399264e-06
RBT,1417474,5.365500101106591e-06
RBT,1555676,4.378999960863439e-06
RBT,1707352,4.1104999581875745e-06
RBT,1873817,8.934999982557201e-06
RBT,2056512,4.476999947655713e-06
RBT,2257019,8.638499934932042e-06
RBT,2477076,8.121000064420514e-06
RBT,2718588,8.064499979809625e-06
RBT,2983647,6.088000191084575e-06
RBT,3274549,8.830500064505031e-06
RBT,3593813,1.0358500048823771e-05
RBT,3944206,6.068000175218913e-06
RBT,4328761,1.1553999911484425e-05
RBT,4750810,7.28200006960833e-06
RBT,5214008,1.1410999832150992e-05
RBT,5722367,8.874500053934753e-06
RBT,6280291,6.389499958459055e-06
RBT,6892612,9.245000001101289e-06
RBT,7564633,5.008000243833521e-06
RBT,8302175,9.781500011740718e-06
RBT,9111627,7.959999948070617e-06
RBT,10000000,5.90150011703372e-06
